,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
722,12.6,24,6,2,2,2,1,1,1,0,0,3,0,0,0,0,15,1,13,1,0,0,0,0,0,5.0,1.0,-0.6544672827555608,0.9601174006676204,-0.4783036879127681,-0.15631913823855415,-0.11469927775759996
731,12.0,18,6,3,1,2,1,1,1,0,0,6,0,0,0,0,8,2,32,1,0,0,0,0,0,4.0,1.0,-1.1508966861328345,0.28921718256683876,-0.42078436543013237,0.3297571182209923,-0.11469927775759996
733,13.2,36,6,2,3,1,1,1,1,0,0,4,1,1,0,0,8,1,50,1,0,1,0,0,1,3.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
737,13.2,36,6,2,1,2,1,1,1,0,0,4,1,1,1,1,20,1,32,1,0,0,0,0,0,4.0,1.0,-1.1508966861328345,0.20535465530424107,-0.5933423328780395,-0.15631913823855415,-0.11469927775759996
740,13.2,36,6,3,1,2,1,1,1,0,0,6,1,1,0,0,18,1,44,1,0,0,0,0,0,4.0,1.0,0.7796621047787854,3.1405431094951606,0.2694475043614962,4.460380606900411,6.5882077729278565
742,13.2,36,6,3,3,2,1,1,1,0,0,3,0,0,0,0,15,1,44,1,0,0,0,0,0,2.0,1.0,-0.5993084601580859,-0.21395798100874744,-0.16194741425827164,-0.15631913823855415,-0.11469927775759996
743,11.0,12,6,3,3,2,1,1,1,0,0,6,0,0,0,0,19,2,44,2,0,0,0,0,0,5.0,1.0,-1.3439525652239965,-0.08816419011485088,-0.8377994534292413,-0.15631913823855415,-0.11469927775759996
745,18.0,18,1,3,2,2,2,1,1,1,0,3,1,1,0,0,4,4,44,4,0,0,0,0,0,1.0,1.0,-0.4365899334955351,-0.21395798100874744,-0.36470302600956256,-0.15631913823855415,-0.11469927775759996
747,13.2,36,6,3,2,3,1,1,1,0,0,4,1,1,1,1,13,1,37,1,0,1,0,0,1,4.0,1.0,-0.13045846807954967,-0.21395798100874744,-0.20508690612024844,-0.15631913823855415,-0.11469927775759996
750,12.0,18,6,3,1,2,1,1,1,0,0,6,1,1,0,0,18,2,21,1,0,0,0,0,0,4.0,1.0,-1.0405790409378848,0.3730797098294365,-0.6796213166019931,-0.15631913823855415,-0.11469927775759996
752,15.0,24,1,2,2,2,3,1,1,12,0,4,0,0,0,0,8,4,65,3,0,1,0,0,0,1.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
753,10.0,3,4,5,3,2,10,7,7,0,0,4,1,0,1,0,14,4,0,4,0,1,0,0,0,6.0,1.0,0.3714868175574715,-0.21395798100874744,0.05662601117574407,-0.15631913823855415,-0.11469927775759996
760,13.2,36,6,3,1,2,1,1,1,0,0,3,1,0,0,0,17,1,37,1,0,1,0,0,1,4.0,1.0,-0.2821452302226055,-0.21395798100874744,-0.28417597453387256,-0.15631913823855415,-0.11469927775759996
762,13.2,36,6,1,1,1,1,1,1,0,0,4,1,1,0,0,8,1,32,1,0,1,0,0,1,3.0,1.0,0.6776182829734569,-0.21395798100874744,0.21624213106505819,-0.15631913823855415,-0.11469927775759996
763,13.2,36,6,2,3,1,1,1,1,0,0,6,1,1,1,1,20,1,32,1,0,0,0,0,0,2.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
765,13.2,36,6,3,4,2,2,2,2,0,0,4,1,0,1,0,6,1,32,1,0,1,0,0,1,2.0,1.0,-0.06978376322232732,-0.21395798100874744,-0.1734512787547988,-0.15631913823855415,-0.11469927775759996
766,12.6,24,6,3,2,2,1,1,1,0,0,4,0,0,0,0,18,1,21,1,0,0,0,0,0,6.0,1.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
767,12.0,18,6,4,2,2,1,1,1,0,0,4,0,0,0,0,8,1,21,1,0,0,0,0,0,4.0,1.0,0.6721024007137094,-0.21395798100874744,0.2133661649409264,-0.15631913823855415,-0.11469927775759996
768,12.0,18,6,3,2,2,1,1,1,0,0,3,0,0,0,0,8,2,44,1,0,0,0,0,0,4.0,1.0,0.4128559345055776,-0.21395798100874744,0.07819575710673246,-0.15631913823855415,-0.11469927775759996
773,13.2,36,6,3,3,2,1,1,1,0,0,4,1,1,1,0,8,1,32,1,0,0,0,0,0,3.0,1.0,0.9644441604803262,-0.21395798100874744,0.36579236951991106,-0.15631913823855415,-0.11469927775759996
774,12.6,24,6,2,2,1,1,1,1,0,0,3,0,0,0,0,18,1,44,1,0,0,0,0,0,4.0,1.0,1.1768056274806042,-0.21395798100874744,0.4765170652989848,-0.15631913823855415,-0.11469927775759996
782,15.0,12,1,3,2,2,2,1,0,6,1,3,1,0,0,0,14,2,61,4,0,0,0,0,0,4.0,0.0,-0.3759152286383128,-0.21395798100874744,-0.3330673986441129,-0.15631913823855415,-0.11469927775759996
798,12.6,24,6,2,1,1,1,1,1,0,0,4,0,0,0,0,8,1,32,1,0,1,0,0,1,2.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
800,13.2,36,6,4,3,2,1,1,1,0,0,5,1,1,0,0,17,1,32,1,0,0,0,0,0,4.0,1.0,1.5160323864550747,-0.21395798100874744,0.6533889819330896,-0.15631913823855415,-0.11469927775759996
801,12.6,24,6,4,3,2,1,1,1,0,0,3,0,0,0,0,8,1,32,1,0,0,0,0,0,2.0,1.0,-0.6903205174439194,-0.21395798100874744,-0.4969974677196247,-0.15631913823855415,-0.11469927775759996
802,12.6,24,6,2,2,1,1,1,1,0,0,3,0,0,0,0,8,1,32,1,0,0,0,0,0,2.0,1.0,-1.2887937426265215,-0.21395798100874744,-0.7227608084639698,-0.15631913823855415,-0.11469927775759996
803,12.0,18,6,2,2,1,1,1,1,0,0,4,0,0,1,1,18,2,22,1,0,1,0,0,1,2.0,1.0,1.924207673676389,-0.21395798100874744,0.8662104751188417,-0.15631913823855415,-0.11469927775759996
817,15.0,12,1,2,2,2,4,1,1,5,0,5,1,1,0,0,9,2,37,2,0,0,0,0,0,5.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
823,15.0,3,2,2,1,1,13,7,6,2,0,4,0,0,0,0,18,2,44,1,0,0,0,0,0,2.0,1.0,-0.47244316818389376,-0.21395798100874744,-0.38339680581641916,-0.15631913823855415,-0.11469927775759996
825,12.0,18,6,3,1,2,1,1,1,0,0,4,1,0,1,1,19,1,32,1,0,1,0,0,1,4.0,1.0,1.924207673676389,-0.21395798100874744,0.8662104751188417,-0.15631913823855415,-0.11469927775759996
826,12.0,18,6,2,1,1,1,1,1,0,0,4,0,0,0,0,18,1,32,1,0,0,0,0,0,2.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
829,12.6,24,6,2,2,2,1,1,1,0,0,4,0,0,0,0,3,1,37,1,0,1,0,0,1,3.0,1.0,-0.32351434717071165,-0.21395798100874744,-0.3057457204648609,-0.15631913823855415,-0.11469927775759996
831,13.2,36,6,2,2,2,1,1,1,0,0,4,1,1,0,0,18,1,22,1,0,1,0,0,1,3.0,1.0,-1.1784760974315718,0.16342339167294223,-0.7515204697052877,0.6363726793817046,1.8440365583621763
832,12.6,24,6,4,2,2,1,1,1,0,0,3,0,0,0,0,4,1,21,1,0,1,0,0,1,4.0,1.0,0.3218438772197441,-0.21395798100874744,0.030742316058557997,-0.15631913823855415,-0.11469927775759996
836,12.6,24,6,2,2,1,1,1,1,0,0,3,1,1,1,0,6,1,21,1,0,0,0,0,0,4.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
838,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,19,1,21,1,0,1,0,0,1,2.0,1.0,-0.748237281171268,-0.21395798100874744,-0.5271951120230084,-0.15631913823855415,-0.11469927775759996
843,13.2,36,6,3,1,2,1,1,1,0,0,4,1,0,1,0,8,1,32,1,0,0,0,0,0,3.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
844,12.6,24,6,2,2,1,1,1,1,0,0,4,0,0,0,0,8,1,44,1,0,0,0,0,0,1.0,1.0,-1.068158452236622,-0.21395798100874744,-0.28273799147180667,-0.15631913823855415,-0.11469927775759996
845,12.6,24,6,2,2,2,1,1,1,0,0,3,1,0,0,0,19,1,21,1,0,1,0,0,1,4.0,1.0,-1.068158452236622,0.33114844619813766,-0.5070633491540859,-0.15631913823855415,-0.11469927775759996
847,12.6,24,6,4,1,2,1,1,1,0,0,4,0,0,0,0,8,1,32,1,0,0,0,0,0,3.0,1.0,-1.2060555087303093,0.18858214985172153,-0.6278539263676209,0.33896070851194726,0.4988745214974533
848,12.6,24,6,2,2,1,1,1,1,0,0,3,0,0,0,0,8,1,32,1,0,0,0,0,0,5.0,1.0,-1.1508966861328345,1.8826052005561953,2.6133598955289012,-0.15631913823855415,-0.11469927775759996
851,12.0,18,6,4,1,3,1,1,1,0,0,7,0,0,1,1,18,1,13,1,0,0,0,0,0,4.0,1.0,-0.930261395742935,-0.21395798100874744,-0.6221019941193574,-0.15631913823855415,-0.11469927775759996
853,13.2,36,6,2,3,3,1,1,1,0,0,4,1,1,0,0,16,1,51,1,0,0,0,0,0,4.0,1.0,-0.9854202183404099,0.4569422370920342,-0.6508616553606752,0.2662262621639952,-0.011577630823977544
