,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,borrow_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
4664,11.0,6,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.706020790520271,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4665,13.0,12,1,2,1,1,3,0,0,0,0,3,0,0,0,0,19,1,33,2,0,0,0,0,0,4.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4666,13.0,24,1,2,1,2,2,0,0,0,0,3,1,1,0,0,2,2,21,2,0,0,0,0,0,5.0,0,-0.2943304893894875,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4667,13.0,12,1,2,2,1,8,0,0,0,0,3,0,0,0,0,1,1,43,2,0,1,0,0,0,3.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4668,15.0,9,1,2,2,2,1,0,0,0,0,3,1,0,0,0,8,2,51,2,0,0,0,0,0,3.0,0,-0.6405248678406135,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4669,13.0,36,1,2,2,2,2,0,0,0,0,6,1,0,0,0,20,2,34,2,0,0,0,0,0,6.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4670,10.0,3,1,2,2,1,1,0,0,0,0,4,0,0,0,0,17,2,0,0,0,0,0,0,0,6.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4671,13.0,36,1,2,2,2,3,0,0,0,0,3,1,0,1,0,7,1,13,2,0,1,0,0,0,1.0,0,-0.10969348754888698,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4672,10.0,3,1,2,1,2,2,0,0,0,0,4,1,0,1,0,12,1,44,4,0,0,0,0,0,6.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4673,13.0,24,1,2,2,2,1,0,0,0,0,5,0,0,1,0,19,2,33,1,0,0,0,0,0,1.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4674,10.0,3,1,2,3,1,12,3,3,0,0,5,1,0,0,0,1,2,32,2,0,0,0,0,0,4.0,0,-0.6982239309158011,-0.15350467000114254,-0.10685101727268073,-0.29284316198753574,-0.0772747905195149
4675,13.0,24,1,3,1,3,1,0,0,0,0,6,0,0,0,0,8,1,33,2,0,0,0,0,0,3.0,0,5.013983313527778,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4676,13.0,36,1,2,2,2,8,0,0,0,0,4,0,0,1,1,7,2,51,1,0,0,0,0,0,4.0,0,1.0904470244150166,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4677,13.0,36,1,2,3,1,4,0,0,0,0,4,1,0,0,0,17,4,44,2,0,0,0,0,0,2.0,0,0.9750488982646413,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4678,13.0,12,1,2,2,1,2,2,1,15,1,4,0,0,0,0,20,1,51,3,1,0,0,0,0,5.0,1,-0.6636044930706886,0.010208505361446098,-0.05590419023049445,0.3849158867219898,1.0911009359699417
4679,13.0,12,1,1,1,1,1,0,0,0,0,3,0,0,0,0,2,2,44,1,0,0,0,0,0,5.0,0,-0.6866841183007637,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4680,13.0,36,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4681,13.0,12,1,1,1,2,2,0,0,0,0,6,1,0,0,0,19,1,35,2,0,0,0,0,0,4.0,0,1.3212432767157674,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4682,13.0,24,1,2,1,2,1,0,0,0,0,4,0,0,0,0,8,2,32,2,0,0,0,0,0,5.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4683,13.0,12,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4684,13.0,12,1,3,1,2,3,0,0,0,0,5,1,1,0,0,18,1,36,2,0,0,0,0,0,3.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4685,13.0,36,1,2,3,1,2,0,0,0,0,3,0,0,0,0,17,2,44,1,0,0,0,0,0,1.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4686,12.0,6,1,2,2,1,2,0,0,0,0,2,0,0,0,0,17,2,42,3,0,0,0,0,0,3.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4687,15.0,24,1,2,2,2,2,0,0,0,0,4,1,0,1,1,19,1,37,1,0,0,0,0,0,5.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4688,12.0,3,1,1,3,1,1,0,0,0,0,3,0,0,0,0,1,4,11,1,0,0,0,0,0,5.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4689,13.0,18,1,2,1,2,1,0,0,0,0,4,1,1,1,0,20,2,33,2,0,0,0,0,0,2.0,0,0.16726201521201384,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
