webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210736,购车,公司职员，现居山东省青岛市，从事住宿和餐饮业行业，工作收入稳定，贷款用于购车。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,43100,13.2,36,1,6,2,1,2,1,1,0,43100,43100,13102.4,0,0,0,4,0,0,0,0,19,1,37,1,0,1,0,0,1
http://www.we.com/loan/210737,日常生活消费,公司职员，现居吉林省长春市，从事教育行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,73800,13.2,36,1,6,4,3,2,1,1,0,73800,73800,22435.2,0,0,0,4,1,0,0,0,15,1,22,1,0,1,0,0,1
http://www.we.com/loan/210738,资金周转,公司职员，现居江苏省苏州市，从事租赁和商务服务业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,93400,13.2,36,2,6,2,1,2,1,1,1,0,93400,0,0,0,0,4,1,1,1,1,20,1,32,1,0,0,0,0,0
http://www.we.com/loan/210739,购买货物/原材/设备,个体业主，现居山东省潍坊市，从事制造业行业，经营稳定，收入良好，贷款用于购买货物/原材/设备。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,46700,13.2,36,1,6,4,1,2,1,1,0,46700,46700,14196.8,0,0,0,3,1,1,1,0,8,1,37,1,0,1,0,0,1
http://www.we.com/loan/210740,装修,公司职员，现居河北省石家庄市，从事教育行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,123000,13.2,36,1,6,4,3,2,1,1,0,123000,123000,37392,0,0,0,4,1,1,0,0,15,1,13,1,0,0,0,0,0
http://www.we.com/loan/210741,资金周转,公司职员，现居广东省广州市，从事批发和零售业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,46700,13.2,36,2,6,3,1,2,1,1,1,0,46700,0,0,0,0,6,1,1,0,0,18,1,44,1,0,0,0,0,0
http://www.we.com/loan/210742,装修,公司职员，现居广东省广州市，从事教育行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,124500,13.2,36,1,6,3,3,2,1,1,0,124500,124500,37848,0,0,0,5,1,1,0,0,15,1,44,1,0,0,0,0,0
http://www.we.com/loan/210743,装修,公司职员，现居广东省广州市，从事教育行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,24600,13.2,36,2,6,3,3,2,1,1,1,0,24600,0,0,0,0,3,0,0,0,0,15,1,44,1,0,0,0,0,0
http://www.we.com/loan/210744,资金周转,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行,90000,11,12,2,6,3,3,2,1,1,1,0,90000,0,0,0,0,6,0,0,0,0,19,2,44,2,0,0,0,0,0
http://www.we.com/loan/210745,个人原因，需要周转,个人原因需要资金作为短期周转，也是累计信用。,30000,15,24,0,1,2,1,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,18,1,50,2,0,0,0,0,0
